数据类型,供应商ID,供应商名称,联系人,联系电话,邮箱,地址,供应商评级,交付可靠率,正常交期(天),结算方式,最小起订量(件),产能等级,合作年限(年),质保期(月),准时交付率
供应商信息,SUP001,深圳华腾电子,张伟,13800138001,zhangwei@huateng.com,深圳市南山区科技园,A级,0.98,7,预付30%,2000,高,2,24,0.94
供应商信息,SUP002,东莞鑫盛塑胶,李明,13900139002,liming@xinsheng.com,东莞市长安镇,B级,0.95,10,预付30%,2000,中,15,12,0.944
供应商信息,SUP003,上海精密机械,王芳,13700137003,wangfang@shprecision.com,上海市浦东新区,A级,0.99,5,预付30%,500,低,15,6,0.892
供应商信息,SUP004,广州恒达金属,陈强,13600136004,chenqiang@hengda.com,广州市天河区,C级,0.92,15,月结60天,200,中,11,24,0.934
供应商信息,SUP005,苏州佳美电子,刘洋,13500135005,liuyang@jiamei.com,苏州市工业园区,A级,0.97,8,月结60天,1000,低,5,18,0.884
供应商信息,SUP006,杭州明远科技,赵敏,13400134006,zhaomin@mingyuan.com,杭州市滨江区,B级,0.94,12,月结30天,100,高,5,24,0.894
供应商信息,SUP007,南京盛达光电,孙磊,13300133007,sunlei@shengda.com,南京市江宁区,A级,0.98,6,预付50%,500,低,10,6,0.928
供应商信息,SUP008,武汉华工科技,周杰,13200132008,zhoujie@huagong.com,武汉市东湖高新区,B级,0.95,10,货到付款,500,高,3,6,0.968
供应商信息,SUP009,成都科创电子,吴敏,13100131009,wumin@kechuang.com,成都市高新区,C级,0.91,18,月结15天,200,中,12,24,0.891
供应商信息,SUP010,重庆渝兴机械,郑涛,13000130010,zhengtao@yuxing.com,重庆市两江新区,B级,0.93,14,月结30天,200,低,15,24,0.919
供应商信息,SUP011,天津北方电子,黄丽,12900129011,huangli@northern.com,天津市滨海新区,A级,0.96,9,月结60天,100,高,7,12,0.897
供应商信息,SUP012,大连远东科技,许峰,12800128012,xufeng@yuandong.com,大连市高新区,B级,0.94,11,预付30%,100,低,14,24,0.967
供应商信息,SUP013,青岛海润电子,何欣,12700127013,hexin@hairun.com,青岛市城阳区,C级,0.9,20,月结60天,100,高,12,24,0.929
供应商信息,SUP014,厦门恒信光电,曹亮,12600126014,caoliang@hengxin.com,厦门市海沧区,A级,0.97,7,月结30天,1000,中,2,24,0.935
供应商信息,SUP015,长沙中联科技,谢芳,12500125015,xiefang@zhonglian.com,长沙市岳麓区,B级,0.95,13,月结15天,100,高,8,12,0.929
供应商信息,SUP016,佛山顺德塑胶,韩伟,12400124016,hanwei@shunde.com,佛山市顺德区,A级,0.98,8,月结30天,500,低,10,36,0.909
供应商信息,SUP017,宁波华通电子,唐静,12300123017,tangjing@huatong.com,宁波市鄞州区,B级,0.94,10,月结30天,500,高,2,12,0.949
供应商信息,SUP018,无锡精密机械,邓凯,12200122018,dengkai@wuxi.com,无锡市新吴区,A级,0.99,5,货到付款,500,中,14,6,0.96
供应商信息,SUP019,合肥创新科技,梁艳,12100121019,liangyan@chuangxin.com,合肥市高新区,C级,0.92,16,货到付款,100,中,12,6,0.946
供应商信息,SUP020,福州东南电子,罗军,12000120020,luojun@southeast.com,福州市鼓楼区,B级,0.93,12,预付50%,500,中,8,36,0.98
供应商信息,SUP021,西安华创科技,宋婷,11900119021,songting@huachuang.com,西安市高新区,A级,0.96,9,货到付款,200,低,15,36,0.94
供应商信息,SUP022,郑州中原电子,袁涛,11800118022,yuantao@zhongyuan.com,郑州市经开区,C级,0.91,17,预付50%,1000,中,2,36,0.95
供应商信息,SUP023,济南恒泰科技,蒋丽,11700117023,jiangli@hengtai.com,济南市高新区,B级,0.94,11,预付50%,1000,中,8,18,0.904
供应商信息,SUP024,哈尔滨北方机械,蔡明,11600116024,caiming@beifang.com,哈尔滨市南岗区,C级,0.9,22,月结15天,2000,中,4,18,0.974
供应商信息,SUP025,长春一汽配件,丁强,11500115025,dingqiang@faw.com,长春市汽开区,A级,0.97,8,货到付款,500,中,3,36,0.908
供应商信息,SUP026,沈阳航天电子,薛敏,11400114026,xuemin@hangtian.com,沈阳市浑南区,B级,0.95,10,月结60天,2000,低,7,18,0.964
供应商信息,SUP027,石家庄华北科技,杨帆,11300113027,yangfan@huabei.com,石家庄市高新区,C级,0.92,15,月结15天,100,低,7,24,0.954
供应商信息,SUP028,太原重工机械,彭伟,11200112028,pengwei@zhonggong.com,太原市经济区,B级,0.93,14,预付50%,1000,低,8,6,0.992
供应商信息,SUP029,南昌华翔电子,赵云,11100111029,zhaoyun@huaxiang.com,南昌市高新区,A级,0.98,6,预付30%,5000,中,11,18,0.945
供应商信息,SUP030,贵阳西南科技,周珊,11000110030,zhouchan@xinan.com,贵阳市观山湖区,C级,0.91,18,货到付款,100,中,8,18,0.971
供应商信息,SUP031,昆明昆电科技,吴涛,10900109031,wutao@kundian.com,昆明市高新区,B级,0.94,12,预付30%,100,中,8,24,0.885
供应商信息,SUP032,南宁南国电子,郑丽,10800108032,zhengli@nanguo.com,南宁市高新区,C级,0.9,20,月结30天,5000,中,10,36,0.971
供应商信息,SUP033,海口南海科技,孙磊,10700107033,sunlei@nanhai.com,海口市高新区,B级,0.93,16,月结30天,500,中,6,24,0.915
供应商信息,SUP034,呼和浩特北方电子,马超,10600106034,machao@huhehaote.com,呼和浩特市新城区,C级,0.91,19,月结15天,500,高,5,12,0.887
供应商信息,SUP035,乌鲁木齐天山科技,杨林,10500105035,yanglin@tianshan.com,乌鲁木齐市高新区,B级,0.92,17,月结60天,200,高,13,18,0.988
供应商信息,SUP036,兰州黄河电子,许燕,10400104036,xuyan@huanghe.com,兰州市安宁区,A级,0.96,10,预付50%,2000,中,3,36,0.942
供应商信息,SUP037,银川西夏科技,何伟,10300103037,hewei@xixia.com,银川市金凤区,B级,0.94,13,月结15天,2000,高,6,12,0.892
