采购订单号,供应商代码,供应商名称,供应商等级,物料代码,物料名称,类型,单位,订单数量,单价,总金额,下单日期,预计交付日期,实际交付日期,状态,交期天数,备注
PO2026060006,SUP018,无锡精密机械,A级,M0017,电源模块 24V2A,原材料,个,1000,71.36,71360,2026/5/13,2026/5/27,,已确认,14,14
PO2026060027,SUP001,深圳华腾电子,A级,M0111,锂电池 18650 v2,原材料,节,140,69.57,9739.8,2026/1/2,2026/1/11,2026/1/11,已完成,9,9
PO2026060042,SUP006,杭州明远科技,B级,M0178,继电器 5V v3,半成品,个,2000,80.2,160400,2026/6/22,2026/7/16,,草稿,24,24
PO2026060024,SUP011,天津北方电子,A级,M0103,电源线 3m v2,原材料,根,500,51.71,25855,2026/4/9,2026/5/1,,已确认,22,22
PO2026060044,SUP036,兰州黄河电子,A级,M0182,螺母 M3 v3,半成品,颗,2000,93.15,186300,2026/3/28,2026/4/17,2026/4/18,已完成,20,20
PO2026060049,SUP002,东莞鑫盛塑胶,B级,P0004,智能灯泡 RGB,成品,个,140,211.87,29661.8,2026/4/24,2026/5/12,,已下达,18,18
PO2026060011,SUP003,上海精密机械,A级,M0054,螺母 M3,原材料,颗,500,39.26,19630,2026/3/2,2026/3/9,,已确认,7,7
PO2026060015,SUP020,福州东南电子,B级,M0067,铝合金散热片 v2,原材料,片,2000,85.44,170880,2026/2/20,2026/3/12,2026/3/15,已完成,20,20
PO2026060037,SUP022,郑州中原电子,C级,M0152,贴片电阻 10kΩ v3,半成品,颗,276,114.16,31508.16,2026/3/13,2026/3/20,2026/3/23,已完成,7,7
PO2026060045,SUP028,太原重工机械,B级,M0185,磁铁 钕磁铁 10x2mm v3,半成品,片,2000,52.8,105600,2026/5/7,2026/5/19,,已下达,12,12
PO2026060002,SUP006,杭州明远科技,B级,M0005,PCB副板,原材料,块,252,40.6,10231.2,2026/5/2,2026/5/12,2026/5/15,已完成,10,10
PO2026060031,SUP030,贵阳西南科技,C级,M0126,扬声器 3W v2,原材料,个,500,93.37,46685,2026/5/14,2026/6/4,,已确认,21,21
PO2026060021,SUP025,长春一汽配件,A级,M0087,钽电容 10μF v2,原材料,颗,500,10.61,5305,2026/2/15,2026/3/1,2026/3/4,已完成,14,14
PO2026060023,SUP013,青岛海润电子,C级,M0099,包装彩盒(小) v2,原材料,个,2000,116.4,232800,2026/5/18,2026/6/9,,已确认,22,22
PO2026060046,SUP011,天津北方电子,A级,M0194,PC透明罩 v4,半成品,个,140,16.33,2286.2,2026/3/7,2026/3/21,2026/3/22,已完成,14,14
PO2026060029,SUP023,济南恒泰科技,B级,M0120,弹簧 压缩 v2,原材料,个,500,53.39,26695,2026/1/1,2026/1/13,2026/1/11,部分到货,12,12
PO2026060033,SUP009,成都科创电子,C级,M0136,ARM Cortex-A35芯片 v3,原材料,片,200,78.83,15766,2026/3/3,2026/3/19,,已确认,16,16
